Transaction,items
190,"['Coffee', 'Pastry']"
191,"['Soup', 'Tea']"
192,['Bread']
193,['Coffee']
194,['Bread']
195,"['Bread', 'Scandinavian']"
196,"['Bread', 'Cake', 'Cookies']"
197,"['Coffee', 'Tea']"
198,"['Coffee', 'Cookies']"
199,['Coffee']
200,['Bread']
201,"['Coffee', 'Pastry']"
202,['Coffee']
203,['Coffee']
204,"['Bread', 'Scandinavian']"
205,"['Coffee', 'Pastry']"
206,"['Coffee', 'Pastry', 'Scandinavian']"
207,"['Coffee', 'Hearty & Seasonal', 'Muffin']"
208,['Bread']
209,['Coffee']
210,['Scandinavian']
211,"['Coffee', 'Soup']"
212,"['Coffee', 'Cookies', 'Tartine']"
213,['Bread']
214,"['Bread', 'Tea']"
215,"['Coffee', 'Pastry']"
216,"['Coffee', 'Tartine']"
217,"['Bread', 'Cookies']"
218,['Sandwich']
219,['Tartine']
220,"['Bread', 'Pastry']"
221,"['Bread', 'Scandinavian']"
222,['Scandinavian']
223,"['Alfajores', 'Coffee']"
224,['Coffee']
225,"['Coffee', 'Coke', 'Soup']"
226,['Cake']
227,"['Sandwich', 'Soup', 'Tea']"
228,['Coffee']
229,"['Bread', 'Hearty & Seasonal']"
230,['Alfajores']
231,['Cake']
232,"['Bread', 'Tea']"
233,"['Bread', 'Coffee', 'Soup', 'Tea']"
234,['Coffee']
235,['Scandinavian']
236,['Fudge']
237,"['Coffee', 'Sandwich']"
238,"['Bread', 'Cookies', 'Pastry', 'Tea']"
239,['Muffin']
240,['Scandinavian']
241,"['Jam', 'Tea']"
242,"['Alfajores', 'Juice', 'Tea']"
243,"['Cake', 'Coffee', 'Muffin', 'Soup']"
244,"['Cake', 'Coffee', 'Hot chocolate']"
245,"['Cake', 'Cookies']"
246,"['Bread', 'Tea']"
247,"['Alfajores', 'Coffee', 'Juice']"
248,"['Coffee', 'Soup', 'Tea']"
249,['Hot chocolate']
250,['Cookies']
251,"['Coffee', 'Medialuna']"
252,"['Bread', 'Eggs']"
253,['Scandinavian']
254,['Medialuna']
255,"['Coffee', 'Pastry']"
256,"['Bread', 'Coffee']"
257,"['Bread', 'Coffee', 'Pastry']"
258,"['Coffee', 'Pastry']"
259,['Pastry']
260,['Coffee']
261,['Coffee']
262,"['Coffee', 'Hot chocolate', 'Pastry']"
263,['Coke']
264,"['Coffee', 'Jam']"
265,['Tea']
266,"['Bread', 'Pastry']"
267,"['Alfajores', 'Coffee', 'Farm House']"
268,"['Pastry', 'Tea']"
269,['Bread']
270,"['Coffee', 'Jam']"
271,"['Coffee', 'Pastry', 'Tea']"
272,['Farm House']
274,"['Bread', 'Coffee', 'Pastry']"
275,['Farm House']
276,"['Coffee', 'Pastry']"
277,['Farm House']
278,"['Coffee', 'Pastry']"
279,['Coffee']
280,"['Coffee', 'Pastry']"
281,['Bread']
282,"['Bread', 'Coffee', 'Pastry']"
283,"['Coffee', 'Pastry']"
284,"['Coffee', 'Farm House']"
285,"['Farm House', 'Pastry']"
286,"['Alfajores', 'Bread', 'Juice']"
287,"['Coffee', 'Pastry']"
288,"['Alfajores', 'Bread']"
289,['Bread']
290,"['Coffee', 'Cookies']"
291,['Coffee']
292,['Cookies']
293,['Hearty & Seasonal']
294,['Coffee']
295,"['Bread', 'Jam', 'Tartine']"
296,"['Farm House', 'Scandinavian']"
297,"['Coffee', 'Hearty & Seasonal', 'Muffin', 'Scandinavian']"
298,"['Coffee', 'Coke', 'Pick and Mix Bowls', 'Tartine']"
299,['Bread']
300,"['Alfajores', 'Coffee', 'Farm House', 'Scandinavian']"
301,"['Juice', 'Mineral water', 'Soup']"
302,"['Soup', 'Tea']"
303,"['Cookies', 'Juice', 'Soup', 'Tea']"
304,"['Hearty & Seasonal', 'Tea']"
305,['Fudge']
306,"['Coffee', 'Juice', 'Mineral water', 'Soup']"
307,['Hearty & Seasonal']
308,"['Hearty & Seasonal', 'Smoothies']"
309,"['Hearty & Seasonal', 'Tea']"
310,"['Coffee', 'Sandwich']"
311,"['Cookies', 'Farm House']"
312,"['Juice', 'Soup', 'Tea']"
313,['Soup']
314,['Coffee']
316,['Bread']
317,"['Cookies', 'Tea']"
318,"['Bread', 'Hearty & Seasonal', 'Soup']"
319,['Coffee']
320,['Coffee']
321,"['Coffee', 'Tea']"
322,['Bread']
323,['Tea']
324,"['Coffee', 'Tea']"
325,['Coffee']
326,['Fudge']
327,['Tea']
328,"['Soup', 'Tea']"
329,['Juice']
330,['Alfajores']
331,['Bread']
332,"['Alfajores', 'Coffee']"
333,"['Alfajores', 'Cookies', 'Juice', 'Mineral water', 'Pick and Mix Bowls']"
334,"['Alfajores', 'Coffee']"
335,['Fudge']
336,"['Juice', 'Mighty Protein']"
337,"['Alfajores', 'Coffee', 'Mineral water']"
338,"['Coffee', 'Mighty Protein']"
339,['Alfajores']
340,"['Bread', 'Coffee']"
341,['Medialuna']
342,"['Bread', 'Medialuna']"
343,['Farm House']
344,"['Coffee', 'Pastry']"
345,['Farm House']
346,"['Coffee', 'Pastry']"
347,['Medialuna']
348,"['Bread', 'Sandwich', 'Tea']"
349,['Bread']
350,"['Coffee', 'Farm House', 'Jam']"
351,['Focaccia']
352,['Bread']
353,"['Bread', 'My-5 Fruit Shoot', 'Pastry', 'Tartine']"
354,"['Farm House', 'Pastry']"
355,"['Bread', 'Pastry']"
356,"['Bread', 'Pastry']"
357,"['Coffee', 'Jam']"
358,['Farm House']
359,"['Bread', 'Pastry']"
360,"['Bread', 'Coffee', 'Tea']"
361,['Jam']
363,"['Medialuna', 'Pastry']"
364,['Coffee']
365,['Tea']
366,['Bread']
367,"['Bread', 'Pastry']"
368,['Pastry']
369,['Farm House']
370,['Tea']
371,"['Alfajores', 'Brownie', 'Coffee', 'Fudge']"
372,"['Bread', 'Cookies', 'Fudge']"
373,['Coffee']
374,['Bread']
375,"['Coffee', 'Jam', 'Pastry']"
376,"['Coffee', 'Soup']"
377,"['Hearty & Seasonal', 'Pastry', 'Smoothies', 'Soup']"
378,"['Bread', 'Pastry']"
379,"['Medialuna', 'Pastry']"
380,"['Coffee', 'Tea']"
381,"['Bread', 'Cookies']"
382,"['Bread', 'Coffee', 'Focaccia', 'Hearty & Seasonal', 'Pick and Mix Bowls', 'Sandwich']"
383,['Coffee']
384,"['Brownie', 'Coffee', 'Sandwich']"
385,"['Brownie', 'Cookies']"
386,['Coffee']
387,['Coffee']
388,"['Bread', 'Coffee', 'Sandwich']"
389,"['Coffee', 'Hot chocolate']"
390,['Tea']
391,"['Brownie', 'Coffee', 'Sandwich']"
392,"['Brownie', 'Farm House', 'Focaccia', 'Pastry']"
393,"['Cake', 'Focaccia']"
394,"['Hearty & Seasonal', 'Mineral water', 'Soup']"
395,['Hearty & Seasonal']
396,['Hearty & Seasonal']
397,"['Coffee', 'Pastry']"
398,['Coffee']
399,"['Cake', 'Tea']"
400,"['Coffee', 'Soup']"
401,"['Bread', 'Focaccia', 'Fudge']"
402,"['Alfajores', 'Coffee', 'Hot chocolate']"
403,"['Brownie', 'Cake', 'Pastry']"
404,"['Alfajores', 'Dulce de Leche', 'Medialuna']"
405,"['Alfajores', 'Dulce de Leche']"
406,"['Bread', 'Cake']"
407,"['Cake', 'Coffee']"
408,['Bread']
409,['Sandwich']
410,"['Alfajores', 'Bread', 'Coffee', 'Medialuna']"
411,['Coffee']
412,"['Alfajores', 'Bread']"
413,"['Coffee', 'Tea']"
414,['Bread']
415,['Dulce de Leche']
416,['Farm House']
417,['Fudge']
418,['Coffee']
419,"['Alfajores', 'Brownie', 'Coffee', ""Ella's Kitchen Pouches"", 'Juice']"
420,['Alfajores']
421,"['Alfajores', 'Bread', 'Brownie', 'Cookies', 'Juice']"
422,"['Cake', 'Cookies']"
423,['Pick and Mix Bowls']
424,['Coffee']
425,['Farm House']
426,['Tea']
427,['Coffee']
428,"['Farm House', 'Focaccia']"
429,['Dulce de Leche']
430,"['Cookies', ""Ella's Kitchen Pouches"", 'Juice', 'My-5 Fruit Shoot']"
431,['Bread']
432,['Hot chocolate']
433,['Coffee']
435,['Coffee']
436,['Coffee']
437,['Medialuna']
438,"['Bread', 'Jam', 'Tea']"
439,['Farm House']
440,['Bread']
441,['Coffee']
442,"['Coffee', 'Medialuna']"
443,['Bread']
444,"['Medialuna', 'Pastry']"
445,"['Coffee', 'Jam']"
446,"['Bread', 'Coffee']"
447,['Coffee']
448,['Bread']
449,['Hot chocolate']
450,"['Bread', 'Medialuna']"
451,"['Bread', 'Jam']"
452,"['Bread', 'Jam']"
453,"['Bread', 'Coffee']"
454,"['Bread', 'Farm House']"
455,"['Bread', 'Coffee']"
456,"['Pastry', 'Tea']"
457,['Coffee']
458,['Bread']
459,"['Brownie', 'Pastry']"
460,['Farm House']
461,['Coffee']
462,"['Coffee', 'Cookies', 'Honey', 'Tea']"
463,['Tea']
464,['Bread']
465,['Brownie']
466,"['Bread', 'Coffee']"
467,['Bread']
468,['Coffee']
469,['Tea']
470,['Tea']
471,['Coffee']
473,"['Bread', 'Coffee']"
474,['Bread']
475,"['Bread', 'The BART']"
476,"['Brownie', 'Coffee']"
477,['Coffee']
478,"['Brownie', 'Coffee']"
479,"['Coffee', 'Mineral water', 'Tartine']"
480,"['Brownie', 'Coffee']"
481,"['Brownie', 'Juice']"
482,"['Alfajores', 'Bread', 'Coffee', 'Jam', 'Medialuna', 'Pastry', 'Tea']"
483,['Bread']
484,['Fudge']
485,"['Coffee', 'Pick and Mix Bowls']"
486,"['Bread', 'Pastry']"
487,"['Coffee', 'Mineral water', 'Scandinavian', 'Soup']"
488,"['Juice', 'Mineral water', 'Pick and Mix Bowls', 'Sandwich']"
489,"['Bread', 'Pastry']"
490,"['Coffee', 'Hearty & Seasonal']"
491,"['Bread', 'Coffee', 'Hearty & Seasonal', 'Mineral water']"
492,"['Brownie', 'Coffee', 'Sandwich', 'Tartine']"
493,"['Brownie', 'Coffee']"
494,"['Alfajores', 'Coffee', 'Tartine']"
495,"['Coffee', 'Mighty Protein']"
497,"['Coffee', 'Hot chocolate']"
498,"['Coffee', 'Jam', 'Soup']"
499,"['Brownie', 'Mineral water']"
500,"['Coffee', 'Scandinavian']"
501,"['Coffee', 'Scandinavian']"
502,['Coffee']
503,"['Brownie', 'Coffee', 'Hearty & Seasonal', 'Hot chocolate']"
504,"['Cake', 'Tea']"
505,['Medialuna']
506,"['Alfajores', 'Coffee', 'Tea']"
507,"['Alfajores', 'Brownie', 'Coffee', 'Juice']"
508,"['Coffee', 'Sandwich']"
509,"['Bread', 'Soup']"
510,"['Bread', 'Soup']"
511,['Bread']
512,"['Brownie', 'Cookies', 'Tea']"
513,"['Bread', 'Brownie', 'Coffee']"
514,['Brownie']
515,"['Bread', 'Cookies', 'Jam']"
516,['Coffee']
517,"['Brownie', 'Tea']"
518,"['Alfajores', 'Medialuna', 'Scandinavian']"
519,"['Alfajores', 'Coffee', 'Cookies', 'Hot chocolate']"
520,['Brownie']
521,['Fudge']
522,"['Brownie', 'Tea']"
523,"['Dulce de Leche', 'Fudge']"
524,"['Bread', 'Coffee', 'Fudge', 'Granola', 'Pastry', 'Scandinavian']"
525,"['Bread', 'Fudge']"
526,"['Coffee', 'Hot chocolate', 'Medialuna']"
527,['Bread']
528,"['Bread', 'Medialuna']"
529,"['Bread', 'Coffee', 'Jam', 'Medialuna']"
530,"['Brownie', 'Coffee', 'Jam']"
531,"['Bread', 'Coffee', 'Jam']"
532,['Scandinavian']
533,"['Coffee', 'Cookies']"
534,"['Coffee', 'Scandinavian']"
535,['Bread']
536,['Bread']
537,"['Brownie', 'Coffee', 'Jam']"
538,['Coffee']
539,"['Brownie', 'Hot chocolate']"
540,['Bread']
541,"['Bread', 'Medialuna']"
542,"['Brownie', 'Coffee', 'Hot chocolate']"
543,['Scandinavian']
544,"['Basket', 'Bread']"
545,"['Bread', 'Brownie', 'Coffee']"
546,"['Cake', 'Fudge']"
547,"['Basket', 'Coffee', 'Hot chocolate']"
548,['Scandinavian']
549,['Scandinavian']
550,"['Bread', 'Cake', 'Coffee', 'Medialuna']"
551,"['Coffee', 'Medialuna']"
552,"['Bread', 'Pastry']"
553,"['Bread', 'Brownie']"
554,"['Farm House', 'Medialuna']"
555,"['Bread', 'Medialuna']"
556,"['Brownie', 'Coffee', 'Hot chocolate', 'Medialuna', 'Smoothies']"
557,"['Bread', 'Brownie', 'Coffee', 'Medialuna', 'Tea']"
558,"['Cookies', 'Medialuna']"
559,"['Coffee', 'Medialuna']"
560,"['Bread', 'Fudge']"
562,"['Coffee', 'Tea']"
563,"['Coffee', 'Cookies']"
564,"['Bread', 'Brownie', 'Pastry']"
565,"['Bread', 'Coffee']"
566,"['Coffee', 'Tea']"
567,['Bread']
568,"['Coffee', 'Medialuna']"
569,"['Brownie', 'Coffee', 'My-5 Fruit Shoot']"
570,"['Coffee', 'Fudge']"
571,['Coffee']
572,"['Basket', 'Coffee']"
573,['Farm House']
574,['Farm House']
575,"['Brownie', 'Coffee']"
576,"['Brownie', 'My-5 Fruit Shoot', 'Scandinavian']"
577,"['Brownie', 'Coffee', 'Hot chocolate', 'Tartine']"
578,"['Bread', 'Brownie', 'Hot chocolate']"
579,"['Fudge', 'Jam']"
580,['Coffee']
581,['Fudge']
583,"['Cake', 'Coffee', 'Hearty & Seasonal', 'Mighty Protein', 'Tea']"
584,['Coffee']
585,['Scandinavian']
586,"['Cake', 'Scandinavian', 'Victorian Sponge']"
587,"['Cake', 'Tea']"
588,['Coffee']
589,['Coffee']
590,['Bread']
591,['Frittata']
592,"['Brownie', 'Coffee', 'My-5 Fruit Shoot']"
593,"['Fairy Doors', 'Focaccia']"
594,"['Coffee', 'Tea']"
595,"['Brownie', 'Hearty & Seasonal', 'Hot chocolate', 'Pick and Mix Bowls']"
596,"['Coffee', 'Frittata']"
597,"['Bread', 'Brownie']"
598,['Frittata']
599,['Scandinavian']
600,['Bread']
601,['Farm House']
602,"['Brownie', 'Jam', 'Pick and Mix Bowls', 'Soup']"
603,"['Coffee', 'Hearty & Seasonal', 'Tea']"
604,['Bread']
605,"['Bread', 'Frittata']"
606,['Scandinavian']
608,"['Coffee', 'Hot chocolate', 'Tartine']"
609,"['Coffee', 'Mighty Protein']"
610,"['Coffee', 'Frittata']"
611,['Scandinavian']
612,"['Coffee', 'Hearty & Seasonal', 'Mineral water']"
613,['Scandinavian']
615,"['Bread', 'Coffee']"
616,"['Bread', 'Coffee', 'Hearty & Seasonal', 'Soup']"
617,"['Brownie', 'Cake', 'Tea']"
618,"['Coffee', 'Mighty Protein']"
620,"['Brownie', 'Coffee', 'Soup', 'Tea']"
621,['Cake']
622,"['Cake', 'Coffee', 'Hot chocolate']"
623,"['Coffee', 'Hearty & Seasonal']"
624,['Coffee']
625,"['Brownie', 'Coffee', 'Frittata']"
626,"['Brownie', 'Coke', 'Frittata', 'Mineral water', 'Sandwich']"
627,"['Granola', 'Scandinavian']"
628,"['Coffee', 'Coke']"
629,"['Brownie', 'Cake', 'Tea']"
630,['Fudge']
631,['Coffee']
632,['Brownie']
633,['Cake']
634,['Tea']
635,"['Cake', 'Coffee', 'Sandwich', 'Soup']"
636,"['Bread', 'Brownie', 'Coffee']"
637,"['Bread', 'Brownie', 'Coffee']"
638,"['Bread', 'Brownie', 'Coffee']"
639,"['Brownie', 'Coffee']"
640,"['Brownie', 'Coffee', 'Soup']"
641,['Fudge']
642,"['Bread', 'Focaccia']"
643,"['Bread', 'Farm House', 'Jam']"
644,"['Brownie', 'Hot chocolate']"
645,['Hot chocolate']
646,"['Brownie', 'Coffee']"
647,"['Medialuna', 'Pastry']"
648,['Bread']
650,"['Bread', 'Coffee', 'Pastry']"
651,"['Coffee', 'Mineral water']"
652,"['Bread', 'Hot chocolate', 'Pastry']"
653,['Bread']
654,['Bread']
655,"['Bread', 'Coffee', 'Jam']"
656,"['Coffee', 'Pastry']"
657,"['Coffee', 'Focaccia', 'Hearty & Seasonal', 'Medialuna']"
658,"['Bread', 'Coffee', 'Farm House', 'Jam']"
659,['Farm House']
660,"['Coffee', 'Medialuna', 'Pastry', 'Tea']"
661,"['Coffee', 'Medialuna', 'Pastry']"
662,"['Basket', 'Coffee', 'Farm House', 'Hot chocolate']"
663,"['Farm House', 'Pastry']"
664,"['Coffee', 'Hot chocolate', 'My-5 Fruit Shoot']"
665,"['Medialuna', 'Muffin', 'Pastry']"
666,['Farm House']
667,"['Focaccia', 'Muffin', 'Pastry']"
668,"['Coffee', 'Tea']"
669,['Bread']
670,['Focaccia']
671,"['Coffee', 'Hot chocolate', 'Jam', 'Pastry']"
672,['Bread']
673,"['Bread', 'Coffee', 'Pastry']"
674,['Tea']
675,"['Coffee', 'Hot chocolate', 'Mineral water']"
676,['Coffee']
677,['Coffee']
678,"['Coffee', 'Jam']"
680,['Muffin']
681,['Bread']
682,['Bread']
683,['Bread']
684,"['Coffee', 'Hot chocolate', 'Muffin']"
685,"['Fudge', 'Muffin']"
686,['Bread']
687,['Bread']
688,['Farm House']
689,"['Coffee', 'Muffin']"
690,['Focaccia']
691,"['Bread', 'Tea']"
692,"['Coffee', 'Hot chocolate']"
693,"['Coffee', 'Jam', 'Pick and Mix Bowls', 'Tartine']"
695,['Jam']
696,['Tartine']
697,"['Bread', 'Coffee']"
698,"['Coffee', 'Juice', 'Mineral water', 'Pick and Mix Bowls', 'Tartine']"
699,"['Bread', 'Juice', 'Tea']"
700,"['Cake', 'Coffee']"
701,['Farm House']
702,['Farm House']
703,"['Brownie', 'Cake', 'Coffee']"
704,"['Coffee', 'Focaccia']"
705,"['Coffee', 'Muffin', 'Tea']"
706,['Coffee']
707,"['Coffee', 'Tea']"
708,"['Cake', 'Coffee', 'Hearty & Seasonal']"
709,"['Bread', 'Cake', 'Tea']"
710,"['Coffee', 'Mighty Protein']"
711,"['Hot chocolate', 'Muffin']"
712,"['Coffee', 'Mighty Protein', 'Soup']"
713,['Jam']
714,"['Alfajores', 'Coffee']"
715,"['Alfajores', 'Cake', 'Hot chocolate']"
716,"['Hot chocolate', 'Muffin', 'Tea']"
717,['Brownie']
718,"['Cake', 'Coffee']"
719,"['Alfajores', 'Tea', 'Victorian Sponge']"
720,['Bread']
721,"['Tartine', 'Tea']"
722,"['Mighty Protein', 'Tea']"
723,"['Bread', 'Fudge']"
724,"['Coffee', 'Medialuna', 'Tartine']"
725,"['Bread', 'Pastry']"
726,"['Bread', 'Pastry']"
727,"['Alfajores', 'Coffee', 'Tea']"
728,"['Alfajores', 'Coffee']"
729,"['Alfajores', 'Coffee']"
730,"['Alfajores', 'Pastry']"
732,['Alfajores']
733,"['Alfajores', 'Hearty & Seasonal', 'Pastry', 'Tea']"
734,"['Sandwich', 'Tea']"
735,"['Empanadas', 'Tea']"
736,"['Alfajores', 'Tea']"
737,['Alfajores']
738,"['Dulce de Leche', 'Pastry']"
739,"['Coffee', 'Pastry']"
740,"['Coffee', 'Farm House']"
741,"['Bread', 'Medialuna', 'Scandinavian']"
742,['Bread']
743,"['Alfajores', 'Pastry', 'Tea']"
744,"['Coffee', 'Pastry']"
745,"['Bread', 'Farm House', 'Muffin', 'Pastry']"
746,"['Medialuna', 'Tea']"
747,['Alfajores']
748,"['Sandwich', 'Tea']"
749,"['Bread', 'Tea']"
750,"['Bread', 'Coffee', 'Pastry']"
751,"['Alfajores', 'Coffee', 'Empanadas', 'Muffin']"
752,['Coffee']
753,['Bread']
754,['Coffee']
755,['Coffee']
756,['Bread']
757,"['Bread', 'Medialuna', 'Pastry', 'Tea']"
758,"['Bread', 'Tea']"
759,['Muffin']
760,"['Coffee', 'Muffin']"
761,"['Bread', 'Coffee', 'Medialuna', 'Pastry']"
762,"['Coffee', 'Muffin']"
763,"['Bread', 'Hot chocolate', 'Muffin', 'Scandinavian']"
764,['Farm House']
765,['Muffin']
766,['Coffee']
767,['Bread']
768,"['Coffee', 'Cookies']"
769,['Coffee']
770,['Muffin']
771,"['Coffee', 'Keeping It Local', 'Tea']"
772,"['Coffee', 'Medialuna']"
773,['Bread']
774,"['Scandinavian', 'Tartine']"
775,"['Coffee', 'Tea']"
776,['Bread']
777,"['Coffee', 'Coke']"
778,"['Coffee', 'Muffin']"
779,"['Bread', 'Coffee', 'Medialuna', 'Muffin', 'Scandinavian']"
780,['Bread']
781,['Coke']
782,"['Bread', 'Scandinavian']"
783,['Coffee']
784,['Bread']
785,"['Bread', 'Scandinavian']"
786,['Fudge']
787,"['Coffee', 'Hearty & Seasonal', 'Soup']"
788,['Coke']
789,"['Coffee', 'Cookies', 'Tea']"
790,"['Coffee', 'Pastry', 'Tea']"
791,['Bread']
792,"['Coffee', 'Medialuna']"
793,"['Coffee', 'Muffin', 'Sandwich', 'Soup']"
794,"['Coffee', 'Muffin', 'Tea']"
795,['Alfajores']
796,['Bread']
797,"['Coffee', 'Medialuna']"
798,['Coffee']
799,['Coffee']
800,['Medialuna']
802,"['Bread', 'Empanadas', 'Scandinavian']"
803,"['Coffee', 'Tartine']"
804,['Tea']
805,['Scandinavian']
806,['Muffin']
807,"['Bread', 'Scandinavian']"
808,['Bread']
809,['Coffee']
810,['Bread']
811,['Bread']
812,['Coffee']
813,"['Cookies', 'Scandinavian']"
814,"['Bread', 'Coffee', 'Empanadas', 'Medialuna']"
815,"['Coffee', 'Pastry']"
816,['Bread']
817,"['Pastry', 'Tea']"
